Título,Referenciado en,Agregado por,,,,,,
"AAVV. Tesoro peruano de un mineral rico labrado en un ingenio famoso, ensayado y tenido por de buena ley, por varios maestros del reyno del Perú, y sacado a luz en este de España. En diez y ocho sermones, predicados a diversos assumptos, dirigido a la agustísima, y soberana reyna de los cielos, y tierra nuestra señora del buen consejo. Zaragoza: Juan de Ybar, 1677.",Instable puente,Juan Vitulli,,,,,,
"Acosta de Samper, Soledad. Viaje a España en 1892. Bogotá: A.M. Silvestre, 1893",Mujeres en tránsito,Vanesa Miseres,,,,,,
"Acosta, José de. Historia natural y moral de las Indias. Madrid: Historia 16, [1590] 1987.",Espectros y conjuras,Carlos Jáuregui,,,,,,
"Aguilar, Federico Cornelio. 1895 [1995]. Último año de residencia en México. Mexico, D.F.: Siguisiví.",El estado mestizo,Joshua Lund,,,,,,
"Alamán, Lucas. Historia de México. Tomo 1. Ciudad de México: Imprenta de Victoriano Agüeros y Co. Editores, 1883.",Espectros y conjuras,Carlos Jáuregui,,,,,,
"Alberdi, Juan Bautista. Viajes y descripciones. Buenos Aires: W.M. Jackson, 1940.",Mujeres en tránsito,Vanesa Miseres,,,,,,
"Altamirano, Ignacio. 1871 [2001]. La navidad en las montañas. Mexico, D.F.: Porrúa.",El estado mestizo,Joshua Lund,,,,,,
"Altamirano, Ignacio. 1901 [2000]. El Zarco: Episodios de la vida mexicana en 1861$#x2013;1863. Ed. Manuel Sol. Veracruz: Clásicos Mexicanos, Universidad Veracruzana.",El estado mestizo,Joshua Lund,,,,,,
"Altamirano, Ignacio. 1986–2001. Obras completas . Vols. 1–24. Ed. Nicole Girón. Mexico City: Secretaría de Educación Pública.",El estado mestizo,Joshua Lund,,,,,,
"Amescua, Mira de. El clavo de Jael",Instable puente,Juan Vitulli,,,,,,
"Ancona, Eligio. Historia de Yucatán desde la época más remota hasta nuestros días. Parte I. Historia antigua. Mérida: Imprenta de M. Heredia y Argüelles, 1878.",Espectros y conjuras,Carlos Jáuregui,,,,,,
"Ancona, Eligio. Historia de Yucatán desde la época más remota hasta nuestros días. Parte IV. La Guerra social. Mérida: Imprenta de M. Heredia y Argüelles, 1880.",Espectros y conjuras,Carlos Jáuregui,,,,,,
"Ancona, Eligio. La cruz y la espada. Novela histórica. Paris: Rosa y Bouret, 1866, 2 vols.",Espectros y conjuras,Carlos Jáuregui,,,,,,
"Aredondo, Alberto. El negro en Cuba. Havana: Alfa, 1939",Carnival and National Identity,Thomas Anderson,,,,,,
"Asbaje y Ramí rez de Santillana, Juana Inés de. Obras completas. Mexico City: Porrúa, 2018.",Food Studies,Vanesa Miseres,,,,,,
"Balbuena, Bernardo de. Grandeza mexicana. Ed. Luis Íñigo Madrigal. Madrid: Cátedra, 2013",Espectros y conjuras,Carlos Jáuregui,,,,,,
"Ballagas,Emilio, ed. Antología de la poesía negra hispanoamericana. Madrid: Aguilar, 1935",Carnival and National Identity,Thomas Anderson,,,,,,
